url,img_url,name,price
https://www.glassesshop.com/eyeglasses/fp1903,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201905/5ce3ad100f3fe.jpg",Jinbee - Brown/Multicolor,$19.95
https://www.glassesshop.com/eyeglasses/fz1297,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201901/5c3403881a8fe.jpg",Hume - Tortoise/Brown,$29.95
,,,
https://www.glassesshop.com/eyeglasses/fz1268,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201810/5bbc509cc7c07.jpg",Genevieve - Tortoise,$34.95
https://www.glassesshop.com/eyeglasses/fz1208,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b4c5f6565a61.jpg",Pete - Crystal,$39.95
https://www.glassesshop.com/eyeglasses/fp1649,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d18d0e18b7.jpg",Owen - Blue/Crystal,$19.95
https://www.glassesshop.com/eyeglasses/fm1271,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201807/5b4c4d7b98167.jpg",Omar - Gunmetal,$19.95
https://www.glassesshop.com/eyeglasses/fp1281,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201701/587f15a44801d.jpg",Wood - Crystal/Tortoise,$29.95
https://www.glassesshop.com/eyeglasses/fp1643,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5afe7e88af2fc.jpg",Isaiah - Tortoise,$19.95
https://www.glassesshop.com/eyeglasses/fz1088,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201805/5af25c0791bb4.jpg",Mandy - Crystal,$29.95
https://www.glassesshop.com/eyeglasses/fz1320,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4eb5fb5.jpg",Vogt - Multicolor,$29.95
https://www.glassesshop.com/eyeglasses/fp1831,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5102348.jpg",Tacab - Gray,$19.95
https://www.glassesshop.com/eyeglasses/fm1354,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201812/5c2436744ec7f.jpg",Haywood - Black/Rose Gold,$29.95
https://www.glassesshop.com/eyeglasses/fp1568,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201803/5ab495a47a944.jpg",Cooksville - Tortoise,$24.95
https://www.glassesshop.com/eyeglasses/fp1935,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201908/5d4d19331a49d.jpg",Lizzie - Black/Silver,$24.95
https://www.glassesshop.com/eyeglasses/fz1375,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201907/5d2d2660a22b3.jpg",Bobosa - Pink/Tortoise,$29.95
