title,year,duration,rating,movie_url,genre,user-agent
The General ,1926,1h 7min,8.1,https://www.imdb.com/title/tt0017925/?ref_=adv_li_tt,Action,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Aladdin ,1992,1h 30min,8.0,https://www.imdb.com/title/tt0103639/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Akira ,1988,2h 4min,8.0,https://www.imdb.com/title/tt0094625/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
"Monsters, Inc. ",2001,1h 32min,8.0,https://www.imdb.com/title/tt0198781/?ref_=adv_li_tt,Animation,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Before Sunset ,2004,1h 20min,8.0,https://www.imdb.com/title/tt0381681/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Gone with the Wind ,1939,3h 58min,8.1,https://www.imdb.com/title/tt0031381/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Mr. Smith Goes to Washington ,1939,2h 9min,8.1,https://www.imdb.com/title/tt0031679/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
It Happened One Night ,1934,1h 45min,8.1,https://www.imdb.com/title/tt0025316/?ref_=adv_li_tt,Comedy,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
Rebecca ,1940,2h 10min,8.1,https://www.imdb.com/title/tt0032976/?ref_=adv_li_tt,Drama,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
The Third Man ,1949,1h 33min,8.1,https://www.imdb.com/title/tt0041959/?ref_=adv_li_tt,Film-Noir,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9"
